ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,5,0,-5
1,0,0,45,0,-45
2,0,0,26,0,-26
3,0,0,6,0,-6
4,1,1,117,1640,1523
5,1,1,728,1242,514
6,0,0,92,0,-92
7,1,0,39,0,-39
8,1,1,415,1944,1529
9,1,0,13,0,-13
10,0,0,10,0,-10
11,0,0,45,0,-45
12,1,0,2,0,-2
13,1,0,96,0,-96
14,0,0,36,0,-36
15,0,0,26,0,-26
16,1,1,1349,1267,-82
17,1,1,35,1735,1700
18,0,0,23,0,-23
19,1,1,115,1403,1288
20,1,0,6,0,-6
21,0,0,43,0,-43
22,0,0,36,0,-36
23,1,0,47,0,-47
24,0,0,161,0,-161
25,1,0,18,0,-18
26,1,1,236,1458,1222
27,1,0,63,0,-63
28,1,0,25,0,-25
29,0,0,61,0,-61
30,1,1,245,1276,1031
31,0,0,15,0,-15
32,1,0,135,0,-135
33,0,0,36,0,-36
34,1,0,21,0,-21
35,0,0,13,0,-13
36,0,0,1,0,-1
37,1,1,938,1254,316
38,1,1,1011,1679,668
39,0,0,12,0,-12
40,1,0,3,0,-3
41,0,0,201,0,-201
42,0,0,32,0,-32
43,1,1,389,1329,940
44,1,0,91,0,-91
45,0,0,17,0,-17
46,0,0,78,0,-78
47,0,0,19,0,-19
48,1,0,5,0,-5
49,0,0,109,0,-109
50,1,0,136,0,-136
51,1,0,13,0,-13
52,1,0,74,0,-74
53,1,0,44,0,-44
54,0,0,76,0,-76
55,1,0,82,0,-82
56,1,0,59,0,-59
57,1,1,52,1245,1193
58,1,0,86,0,-86
59,0,0,1,0,-1
60,1,0,16,0,-16
61,1,1,1922,1220,-702
62,1,0,28,0,-28
63,1,0,119,0,-119
64,1,1,174,1340,1166
65,1,0,57,0,-57
66,1,1,1126,1351,225
67,1,0,58,0,-58
68,1,1,72,1504,1432
69,0,0,94,0,-94
70,0,0,1,0,-1
71,0,0,131,0,-131
72,1,0,52,0,-52
73,1,0,39,0,-39
74,1,0,151,0,-151
75,0,0,84,0,-84
76,0,0,67,0,-67
77,1,0,18,0,-18
78,0,0,2,0,-2
79,0,0,7,0,-7
80,1,1,1001,1410,409
