ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,8,0,-8
1,0,0,44,0,-44
2,1,0,19,0,-19
3,0,0,68,0,-68
4,1,1,1492,1633,141
5,0,0,12,0,-12
6,1,1,48,1281,1233
7,1,1,37,1536,1499
8,1,0,12,0,-12
9,0,0,4,0,-4
10,0,0,57,0,-57
11,1,1,1482,1540,58
12,1,1,942,1315,373
13,1,0,156,0,-156
14,1,1,702,3433,2731
15,1,1,109,1296,1187
16,0,0,17,0,-17
17,1,1,64,1547,1483
18,1,0,4,0,-4
19,0,0,10,0,-10
20,1,1,1053,1886,833
21,1,1,383,2000,1617
22,0,0,26,0,-26
23,1,0,144,0,-144
24,1,0,34,0,-34
25,0,0,18,0,-18
26,1,0,116,0,-116
27,1,1,117,1756,1639
28,0,0,37,0,-37
29,0,0,11,0,-11
30,1,0,105,0,-105
31,1,1,86,2134,2048
32,1,1,97,1204,1107
33,1,1,1511,1519,8
34,1,0,176,0,-176
35,0,0,12,0,-12
36,1,1,251,1208,957
37,1,1,982,3394,2412
38,1,0,0,0,0
39,1,0,87,0,-87
40,1,0,42,0,-42
41,0,0,19,0,-19
42,0,0,7,0,-7
43,0,0,14,0,-14
44,0,0,77,0,-77
45,0,0,21,0,-21
46,1,0,52,0,-52
47,0,0,247,0,-247
48,1,0,111,0,-111
49,1,0,87,0,-87
50,1,0,83,0,-83
51,1,0,76,0,-76
52,1,0,16,0,-16
53,0,0,9,0,-9
54,1,1,184,1941,1757
55,0,0,36,0,-36
56,0,0,63,0,-63
57,1,0,108,0,-108
58,0,0,64,0,-64
59,0,0,164,0,-164
60,0,0,53,0,-53
61,0,0,3,0,-3
62,0,0,64,0,-64
63,0,0,17,0,-17
64,0,0,53,0,-53
65,1,1,87,1584,1497
66,1,0,12,0,-12
67,0,0,16,0,-16
68,0,0,55,0,-55
69,1,1,580,1298,718
70,1,1,631,2700,2069
71,0,0,36,0,-36
72,1,0,33,0,-33
73,1,0,12,0,-12
74,1,1,750,1213,463
75,0,0,5,0,-5
76,1,0,59,0,-59
77,1,1,1430,1411,-19
78,0,0,9,0,-9
79,1,0,11,0,-11
80,0,0,23,0,-23
